Model,ROC_AUC,PR_AUC,Precision,Recall,F1,True_Negative,False_Positive,False_Negative,True_Positive
Logistic Regression,0.9693866264514295,0.11542700955879946,0.04355400696864112,0.847457627118644,0.08285004142502071,27404,1098,9,50
Random Forest,0.9756564808416657,0.26399562075588545,0.18584070796460178,0.711864406779661,0.29473684210526313,28318,184,17,42
