Model,ROC_AUC,PR_AUC,Precision,Recall,F1,TN,FP,FN,TP
Logistic Regression,0.9622598592545988,0.23909246626511094,0.1359773371104816,0.8135593220338984,0.23300970873786409,28197,305,11,48
Random Forest,0.9562028950689156,0.11702530359460905,0.046445497630331754,0.8305084745762712,0.08797127468581688,27496,1006,10,49
